iteration,loss
0,6447769.0
1,6152335.5
2,5897021.5
3,5565128.0
4,4864432.5
5,4148702.75
6,3266212.25
7,2380743.5
8,1830027.375
9,1941490.125
10,2277185.5
11,2279144.75
12,1884615.0
13,1467629.0
14,1295119.125
15,1301905.875
16,1326754.25
17,1276851.375
18,1136353.625
19,1081160.5
20,1091309.875
21,1090169.25
22,1011287.25
23,925763.25
24,804029.5
25,741949.625
26,674119.75
27,604209.625
28,538303.0625
29,516449.28125
30,482535.5
31,449374.65625
32,434679.3125
33,437763.5
34,424276.5
35,415355.9375
36,390683.25
37,372058.90625
38,359109.09375
39,360074.5
40,343114.90625
41,325772.5625
42,310069.1875
43,294061.3125
44,274483.75
45,259162.71875
46,249768.25
47,236725.46875
48,222330.890625
49,211747.9375
50,198967.40625
51,190343.421875
52,174701.4375
53,164280.0
54,150653.4375
55,137518.96875
56,127138.4375
57,120232.828125
58,109929.8984375
59,99359.7109375
60,115032.3671875
61,85038.34375
62,78591.328125
63,797441.6875
64,452592.375
65,3248651.5
66,2789903.5
67,110421.4140625
68,220936.015625
69,262173.15625
70,202864.046875
71,110611.0703125
72,164174.859375
73,210681.15625
74,133238.75
75,2106471.25
76,7865407.5
77,9280517.0
78,9902662.0
79,9412194.0
80,8586046.0
81,10530102.0
82,9164535.0
83,9266529.0
84,9069616.0
85,8450623.0
86,7696029.5
87,7680763.0
88,8859633.0
89,9781979.0
90,9178864.0
91,6766116.5
92,6128188.5
93,5485628.5
94,5169665.0
95,5021549.5
96,4922647.0
97,4726134.5
98,4430035.0
99,4053237.75
100,3677855.0
101,3308514.0
102,2930913.75
103,2596462.0
104,2279875.75
105,2026233.0
106,1867173.125
107,1688670.25
108,1544084.875
109,1366200.0
110,1200372.875
111,992730.125
112,879686.6875
113,764535.5625
114,636708.125
115,558425.8125
116,454745.15625
117,360061.25
118,297607.5625
119,229942.703125
120,167211.25
121,234010.90625
122,312048.375
123,313898.78125
124,227051.953125
125,222747.53125
126,208345.0625
127,142040.03125
128,127141.1171875
129,127166.546875
130,111676.03125
131,106230.015625
132,103042.8125
133,94776.1875
134,92347.6796875
135,80401.4453125
136,77811.84375
137,73909.8828125
138,70442.1640625
139,66266.0390625
140,60749.32421875
141,57555.6796875
142,54390.0703125
143,51763.609375
144,49514.4296875
145,47879.86328125
146,46903.41015625
147,45002.56640625
148,47246.390625
149,45629.57421875
150,43007.00390625
151,41486.62109375
152,43506.5
153,42006.3828125
154,39921.62890625
155,39268.16796875
156,40084.625
157,40153.04296875
158,38000.64453125
159,37391.50390625
160,37741.4140625
161,36661.09375
162,37956.85546875
163,36890.8359375
164,38824.3125
165,39082.63671875
166,35487.0625
167,38600.484375
168,38930.484375
169,39001.53125
170,40647.3359375
171,35609.1640625
172,34828.23828125
173,37536.66015625
174,38116.3515625
175,35153.60546875
176,34736.48046875
177,37178.0
178,41394.4296875
179,35761.9609375
180,36306.27734375
181,36674.0
182,37349.3515625
183,37224.46484375
184,33415.49609375
185,33970.26953125
186,35504.71875
187,38352.4921875
188,35443.7890625
189,35373.68359375
190,33701.6796875
191,33872.9609375
192,33149.421875
193,32940.7890625
194,32077.3359375
195,32204.283203125
196,33154.85546875
197,32864.94140625
198,34177.2890625
199,33324.3125
200,34469.33203125
201,35041.51953125
202,31584.82421875
203,33363.3984375
204,32018.966796875
205,36527.47265625
206,37044.9296875
207,31299.1640625
208,36587.0859375
209,36368.38671875
210,35402.84765625
211,39566.5
212,34302.0859375
213,31574.701171875
214,31002.744140625
215,31939.9765625
216,32757.578125
217,31999.5390625
218,31773.130859375
219,31255.216796875
220,31592.443359375
221,30883.681640625
222,31956.66796875
223,31240.0390625
224,33900.56640625
225,33393.890625
226,30361.03125
227,30509.509765625
228,32379.357421875
229,31541.810546875
230,31469.00390625
231,31344.447265625
232,33509.2265625
233,33116.6015625
234,30645.29296875
235,30137.52734375
236,33615.65625
237,34795.62890625
238,30694.08203125
239,36594.609375
240,38286.69921875
241,35363.21484375
242,34444.078125
243,32606.3359375
244,31161.01171875
245,30710.109375
246,30780.453125
247,30863.09765625
248,30908.14453125
249,30450.18359375
250,30213.001953125
251,29955.255859375
252,30369.91015625
253,30370.16015625
254,29975.14453125
255,31640.625
256,30224.296875
257,33490.515625
258,36248.98046875
259,30706.30078125
260,33687.890625
261,35990.8984375
262,32862.66015625
263,32613.015625
264,34026.6953125
265,31092.1171875
266,30265.22265625
267,30828.962890625
268,30745.998046875
269,30989.513671875
270,31397.185546875
271,30681.71484375
272,30527.6875
273,31241.0546875
274,29881.267578125
275,29578.453125
276,31097.01953125
277,30976.099609375
278,29698.044921875
279,29521.00390625
280,31061.505859375
281,30739.650390625
282,29765.65625
283,29687.9375
284,30685.0078125
285,30005.439453125
286,30021.169921875
287,29523.4375
288,30749.53125
289,30239.111328125
290,29510.19921875
291,29168.7890625
292,30894.779296875
293,31363.484375
294,28917.4296875
295,28801.626953125
296,28935.666015625
297,29296.830078125
298,29391.63671875
299,28923.52734375
300,29960.421875
301,29161.41796875
302,31417.2734375
303,31112.39453125
304,29857.611328125
305,29886.556640625
306,29543.81640625
307,28711.46875
308,33134.08984375
309,35699.62890625
310,30932.82421875
311,30098.681640625
312,31574.197265625
313,30278.9765625
314,30722.86328125
315,30244.638671875
316,29084.328125
317,28991.697265625
318,29930.751953125
319,30095.375
320,30139.376953125
321,30501.90234375
322,29402.28125
323,28964.541015625
324,29438.287109375
325,28856.0546875
326,32175.904296875
327,33258.78515625
328,29115.76953125
329,32173.3984375
330,33923.765625
331,31265.4453125
332,32197.5
333,32760.576171875
334,30094.91015625
335,30024.09375
336,31099.224609375
337,29624.26171875
338,30026.236328125
339,28835.98046875
340,29185.962890625
341,29084.859375
342,29300.458984375
343,28931.1875
344,28430.841796875
345,28686.619140625
346,29306.033203125
347,28910.412109375
348,29715.287109375
349,29034.728515625
350,32064.587890625
351,34220.46484375
352,29570.2578125
353,31646.603515625
354,34961.48828125
355,31653.91015625
356,29075.86328125
357,29972.68359375
358,28583.65625
359,31704.890625
360,32027.109375
361,29342.2265625
362,30017.142578125
363,29227.462890625
364,30603.427734375
365,30521.533203125
366,29355.22265625
367,29431.171875
368,28821.267578125
369,28619.65625
370,28652.798828125
371,29093.744140625
372,28524.548828125
373,28705.728515625
374,28595.162109375
375,28405.6328125
376,28654.228515625
377,28579.150390625
378,28830.8203125
379,28581.07421875
380,28109.873046875
381,28862.98046875
382,28329.9921875
383,28338.095703125
384,29455.193359375
385,28767.421875
386,33016.14453125
387,33879.75
388,29537.96484375
389,31668.41015625
390,33461.140625
391,30220.314453125
392,31247.845703125
393,32309.84375
394,30054.33203125
395,28707.51953125
396,29296.61328125
397,28924.8359375
398,28953.037109375
399,29656.06640625
400,28988.392578125
401,28735.07421875
402,28851.8359375
403,28698.740234375
404,28373.36328125
405,29200.298828125
406,28703.86328125
407,28350.62890625
408,28129.390625
409,29572.830078125
410,29738.5703125
411,28210.212890625
412,28786.951171875
413,28212.376953125
414,30673.796875
415,31883.791015625
416,28467.494140625
417,30370.00390625
418,32598.005859375
