Method,Control_Objective,Std_Objective,Optimal_Value,Relative_Suboptimality
PINN,856.4227294921875,595.3298950195312,260.6599426269531,2.2855939865112305
FBSNN,644.7754516601562,38.78584289550781,260.6599426269531,1.473626971244812
NeuralSOC,263.849365234375,19.798917770385742,260.6599426269531,0.012235952541232109
