iteration,loss
0,1202674.875
1,1157099.875
2,5291528704.0
3,36506083328.0
4,6990315008.0
5,362409376.0
6,5459850.0
7,1258014.875
8,1170094.375
9,1172899.75
10,1150834.875
11,1057150.0
12,1027952.6875
13,1159328.625
14,1383487.75
15,1177853.875
16,1055331.125
17,1025818.625
18,968340.5625
19,1017718.1875
20,926894.0
21,928433.625
22,930058.125
23,893625.9375
24,893035.625
25,846885.875
26,792434.75
27,838876.8125
28,866870.5
29,783483.0
30,690307.875
31,674262.125
32,662971.9375
33,720427.5
34,625232.6875
35,582327.1875
36,521784.0
37,456144.21875
38,407184.125
39,374009.8125
40,353843.90625
41,479377.8125
42,277042.46875
43,329353.65625
44,221753.359375
45,208531.734375
46,146605.21875
47,144745.421875
48,125883.4765625
49,120537.5703125
50,42515.3828125
51,36680.5703125
52,39957.203125
53,55536.26953125
54,32877.54296875
55,40373.875
56,29435.255859375
57,19815.58984375
58,20044.822265625
59,30982.490234375
60,16499.84765625
61,17969.59375
62,17143.767578125
63,14932.0078125
64,25061.029296875
65,21732.53125
66,12893.732421875
67,31713.46875
68,15515.75
69,36828.21484375
70,36289.3046875
71,20248.4375
72,9047.4892578125
73,35752.8671875
74,14776.3544921875
75,14089.9208984375
76,20880.01171875
77,14568.1083984375
78,18622.8359375
79,35211.1171875
80,11602.2587890625
81,43991.48046875
82,22614.220703125
83,25078.3046875
84,12512.740234375
85,19106.302734375
86,36042.1640625
87,14410.7138671875
88,32756.607421875
89,31773.234375
90,55825.2890625
91,35372.640625
92,24467.416015625
93,19809.310546875
94,32101.39453125
95,10132.6044921875
96,19888.115234375
97,13600.9287109375
98,26945.60546875
99,37208.078125
100,23324.482421875
101,18466.958984375
102,32061.4609375
103,15765.7216796875
104,12753.568359375
105,28125.009765625
106,30926.84765625
107,33086.30078125
108,34057.67578125
109,31452.501953125
110,18909.873046875
111,18976.580078125
112,19954.6953125
113,10473.2470703125
114,30543.298828125
115,30209.919921875
116,26714.947265625
117,25450.447265625
118,9680.41796875
119,17067.8671875
120,9859.9541015625
