iteration,loss
0,403758.125
1,405343.3125
2,405764.40625
3,398608.3125
4,413622.375
5,412589.21875
6,396196.03125
7,393155.5625
8,395067.25
9,398650.875
10,395667.90625
11,403069.9375
12,402019.8125
13,405094.5
14,403056.34375
15,409044.75
16,401372.75
17,398285.75
18,395193.125
19,388605.625
20,395552.125
21,406240.46875
22,386875.8125
23,395025.0
24,394168.46875
25,398912.5
26,387251.0
27,392493.375
28,404163.09375
29,405770.75
30,389670.96875
31,394206.875
32,393677.03125
33,384151.40625
34,387567.90625
35,392309.90625
36,401695.65625
37,394003.09375
38,392172.0
39,393645.78125
40,384852.6875
41,377211.3125
42,381072.96875
43,377100.25
44,373155.78125
45,374396.53125
46,381383.90625
47,370309.71875
48,373042.59375
49,368036.5625
50,366596.4375
51,360166.96875
52,356998.25
53,352367.40625
54,349495.375
55,354479.0625
56,349563.375
57,343483.1875
58,336683.875
59,336771.1875
60,334771.0
61,325650.5
62,308851.625
63,315319.59375
64,320707.25
65,313436.9375
66,305579.28125
67,308242.9375
68,298184.5
69,292757.5625
70,298370.5
71,291731.96875
72,285570.4375
73,280645.375
74,272656.375
75,269376.5625
76,269501.875
77,259073.53125
78,258070.484375
79,264345.90625
80,253366.59375
81,262985.125
82,247951.03125
83,245640.796875
84,249392.34375
85,243980.34375
86,235731.5625
87,245499.09375
88,243012.34375
89,239304.234375
90,245042.96875
91,239317.9375
92,235315.0625
93,238429.40625
94,227211.328125
95,243869.6875
96,228724.921875
97,235892.421875
98,229087.765625
99,230149.65625
100,227776.96875
101,230370.09375
102,230845.9375
103,221301.03125
104,224171.53125
105,223255.640625
106,217612.96875
107,219188.734375
108,216715.5
109,218398.671875
110,219879.234375
111,214197.78125
112,214826.609375
113,210796.5
114,212519.25
115,207313.03125
116,211726.453125
117,207629.484375
118,204203.125
119,205279.5
120,206318.0625
121,203403.5
122,202991.8125
123,204326.953125
124,197140.828125
125,188794.6875
126,194674.4375
127,201846.625
128,191828.796875
129,193833.375
130,192518.6875
131,195137.625
132,185388.4375
133,191003.1875
134,185305.328125
135,187865.640625
136,181202.703125
137,179200.015625
138,179805.53125
139,184273.90625
140,183187.9375
141,182112.96875
142,179522.703125
143,174395.9375
144,175778.125
145,173245.28125
146,171722.5
147,166107.453125
148,171712.390625
149,165576.0625
150,168448.40625
151,169632.203125
152,164022.921875
153,159251.359375
154,162385.28125
155,160374.3125
156,160984.953125
157,150537.84375
158,154385.28125
159,155498.53125
160,157275.90625
161,154514.59375
162,155330.640625
163,152844.25
164,151980.03125
165,147888.0625
166,143825.0
167,147155.046875
168,143396.5625
169,145586.9375
170,145217.265625
171,137238.640625
172,139710.265625
173,139839.0
174,134259.234375
175,138928.75
176,133771.9375
177,133129.34375
178,133350.53125
179,129712.8671875
180,130562.484375
181,126364.6171875
182,129254.59375
183,124210.4140625
184,121995.3984375
185,123654.953125
186,119153.65625
187,116592.96875
188,112432.078125
189,118959.015625
190,116434.296875
191,114120.578125
192,115299.640625
193,109688.90625
194,112183.3671875
195,113047.2265625
196,103145.640625
197,109395.671875
198,103368.9609375
199,101191.875
200,100389.0078125
201,98427.84375
202,98158.1015625
203,97199.21875
204,97880.578125
205,93548.578125
206,94940.96875
207,91282.078125
208,89665.8125
209,87749.21875
210,91325.8203125
211,83520.9609375
212,85532.46875
213,84897.015625
214,82348.0546875
215,79586.625
216,80616.0234375
217,78106.515625
218,75863.015625
219,73661.734375
220,77490.484375
221,71087.09375
222,73568.9375
223,72397.7265625
224,69309.59375
225,65015.27734375
226,65778.515625
227,60929.49609375
228,63542.78515625
229,65046.6328125
230,62527.58203125
231,57250.59375
232,53457.5546875
233,57441.421875
234,55833.078125
235,55950.25390625
236,52010.47265625
237,49258.3828125
238,50461.140625
239,51628.03125
240,48899.18359375
241,47058.46484375
242,47505.4921875
243,43430.9296875
244,41449.15625
245,41539.54296875
246,44323.48828125
247,38046.9453125
248,38558.4375
249,37504.078125
250,35952.68359375
251,35597.6796875
252,34314.125
253,32296.392578125
254,32316.5703125
255,30242.09765625
256,29233.76953125
257,29504.826171875
258,27882.142578125
259,27691.369140625
260,23632.21484375
261,25206.548828125
262,23516.05859375
263,22621.265625
264,22562.517578125
265,21502.154296875
266,20437.583984375
267,20006.23046875
268,18368.16796875
269,20759.55859375
270,16280.697265625
271,17497.8515625
272,16083.396484375
273,15344.4248046875
274,15363.88671875
275,14311.12890625
276,14015.953125
277,14469.734375
278,13204.810546875
279,12470.6396484375
280,11566.64453125
281,11377.84765625
282,10726.6923828125
283,10232.75
284,10325.984375
285,9193.0029296875
286,8982.865234375
287,8407.3271484375
288,7691.3525390625
289,7131.244140625
290,7834.85986328125
291,7038.89599609375
292,6693.109375
293,7026.802734375
294,6295.0068359375
295,6500.0302734375
296,5804.20556640625
297,5861.8056640625
298,5902.3486328125
299,5138.74951171875
300,4757.9892578125
301,4867.38037109375
302,4705.02734375
303,4630.19384765625
304,4091.5380859375
305,4586.05419921875
306,3995.660888671875
307,4109.0849609375
308,4115.46875
309,4171.3984375
310,4381.1923828125
311,3636.281982421875
312,3677.869873046875
313,3933.25146484375
314,3485.97265625
315,3517.332763671875
316,3565.271484375
317,3245.67041015625
318,2816.75341796875
319,2883.7041015625
320,3116.13916015625
321,2638.686279296875
322,3464.3408203125
323,2626.5400390625
324,2640.3916015625
325,2888.80419921875
326,2366.158447265625
327,2720.315185546875
328,3016.4306640625
329,2707.58740234375
330,2453.694091796875
331,2378.262939453125
332,2972.7158203125
333,2799.0537109375
334,2787.175537109375
335,2510.486572265625
336,2540.895751953125
337,3140.798583984375
338,2597.5458984375
339,2423.960693359375
340,2996.96728515625
341,2171.251953125
342,2385.0146484375
343,2700.59423828125
344,2904.573974609375
345,1931.415283203125
346,2313.266357421875
347,2369.255615234375
348,2728.263427734375
349,2297.4873046875
350,2349.201171875
351,2845.007080078125
352,2343.38525390625
353,2111.472900390625
354,2738.40966796875
355,2377.135498046875
356,2082.447998046875
357,2330.49609375
358,2519.24169921875
359,2278.8505859375
360,2225.705078125
361,2096.67529296875
362,2547.1630859375
363,1873.2109375
364,2361.05029296875
365,2534.177001953125
366,2346.8056640625
367,2419.496826171875
368,2216.427978515625
369,2656.527099609375
370,2297.85693359375
371,1849.2086181640625
372,2179.89794921875
373,2035.037353515625
374,2139.34423828125
375,2495.26953125
376,2226.212158203125
377,2220.161376953125
378,1897.1358642578125
379,2242.32470703125
380,2171.04833984375
381,1733.0611572265625
382,2139.52197265625
383,1961.86865234375
384,1639.609375
385,1965.527099609375
386,2353.97119140625
387,2000.0589599609375
388,2133.7578125
389,1950.316650390625
390,1885.296630859375
391,2173.58642578125
392,2361.059326171875
393,2332.5791015625
394,2307.626953125
395,2864.988525390625
396,2151.2978515625
397,1796.01611328125
398,1922.796630859375
399,2122.172607421875
400,1856.60986328125
401,2052.408203125
402,2004.2056884765625
403,1878.146240234375
404,2159.8955078125
405,1607.95556640625
406,1727.3505859375
407,1908.134521484375
408,1763.6798095703125
409,2071.051025390625
410,1945.857421875
411,1721.69775390625
