epoch,train_loss,val_loss,val_rel_l2
0,0.009512146740686149,0.004212067136541009,0.29934766292572024
20,0.0016170081237796693,0.0017341903934720905,0.19273853078484535
40,0.0006872861144365743,0.0008865480311214923,0.13610201738774777
60,0.0004123572457174305,0.000646593161218334,0.11500024348497391
80,0.00029190648833173327,0.0005749035168264527,0.10719695650041103
100,0.0002462381955847377,0.0005496576122823171,0.10474838763475418
120,0.00020302831660956144,0.00046387238762690686,0.09532479830086231
140,0.00015709901119407733,0.0004319784202380106,0.09225195087492466
160,0.00013180970933171921,0.00040856238192645835,0.08867741748690605
180,0.00012011183622962563,0.00038631403222098013,0.08581864498555661
200,0.00010764963190013077,0.00037586734870274083,0.08486048132181168
220,0.00010156517716677627,0.0003679112262034323,0.08362521268427373
240,9.494061821169453e-05,0.0003670936082926346,0.08354158308357
260,9.252088251378155e-05,0.00036425445978238713,0.08300954960286618
280,9.061395675962558e-05,0.00036278114494052715,0.0827603442594409
299,8.987329847150249e-05,0.000363040568845463,0.08277902342379093
