epoch,train_loss,val_loss,val_rel_l2
0,0.002359456280755694,0.0006991724367253482,0.12079335637390613
10,0.0002491233220189315,0.00040895856582210397,0.09067503251135349
20,0.00011177565721936844,0.00033770786685636265,0.08119739033281803
30,7.53073032615248e-05,0.0003199936965756933,0.07819426637142897
40,5.9414926358840606e-05,0.0002984089946039603,0.07522979341447353
50,4.897499333083033e-05,0.0003022611039341427,0.07515054158866405
60,4.3677073747403484e-05,0.0002882460028558853,0.07332088518887758
70,4.272610668635934e-05,0.0002904003617004491,0.07370778387412429
80,4.034177189282673e-05,0.0002888854947741493,0.07345981784164905
90,3.9185779917261244e-05,0.00028650992353504987,0.07309752916917205
100,3.890856136877119e-05,0.0002851062718036701,0.07296002693474293
110,3.864274240584109e-05,0.00028352561239444187,0.07281978810206055
120,3.814482341567782e-05,0.0002848169082426466,0.07292827172204852
130,3.798232303950044e-05,0.00028394720939104443,0.07284222496673465
140,3.7865106014010055e-05,0.0002836895222571911,0.07281862357631326
149,3.779674119584797e-05,0.00028388116024871126,0.07283817194402217
