frequency,reference_power,fno_power,deeponet_power,fno_error_power,deeponet_error_power
0,2401.5566285385376,2459.5755550134045,2432.862202581273,58.0189264748667,31.305574042618822
1,314.8851542401761,323.146308902,314.59435752666235,11.100864695436425,11.93977054752082
2,101.93746929598964,105.21076838167424,100.76166153729376,4.7688318627994075,11.389354527757366
3,45.818141746717686,46.49551772846858,42.90551805426776,2.143010592870906,5.960078061019769
4,21.267152170069917,21.840391070455162,22.216054908485614,1.4742000865072034,4.213858476134841
5,9.249826760688325,9.478831033909206,9.650149079481512,0.7513449083501859,2.5329487003205515
6,6.065481421223867,6.307362077571646,7.065490737887992,0.7768829943300151,2.003048261414449
7,3.6999162329544246,3.838955922409433,4.0798099817567275,0.5943313478126558,1.3806335914821133
8,2.552847404492215,2.7625359708269386,2.7511732848480066,0.5245182089362124,0.9048079314759582
9,2.005345154224898,2.128198804335347,2.1213662222711087,0.46658532751900855,0.6352414130740891
10,1.3940016190094544,1.5402745437467824,1.440257080059373,0.368730319317099,0.5265946511288001
11,1.1815390386844926,1.284638907080483,1.2435750589065113,0.3143734884541556,0.5257467277696248
12,0.8319793672688643,0.9323259619091696,0.849996519616531,0.33108567103141845,0.378361708181757
13,0.6461338988831107,0.7854612895316482,0.6487268624711574,0.3519935562347069,0.29444282263429944
14,0.5709865904296308,0.6860274950658171,0.5680212987805636,0.3092318439443641,0.24847371984448635
15,0.44605399682228863,0.5403381229536074,0.4566391953022245,0.23544580149325806,0.20369943848154493
16,0.399710980996646,0.4831699704361526,0.401239188604674,0.20996523026558392,0.19963199575022172
17,0.31634291340830595,0.3777375581030727,0.30996306175366467,0.18598908266146572,0.1642137751349018
18,0.2758231737023615,0.36940170479630974,0.26856685434552136,0.1990381120937252,0.15227532471113758
19,0.23423295667097063,0.31412643976355104,0.24349960644136476,0.18644146794588493,0.1402099209265276
20,0.19758152118908986,0.2690948513588408,0.20978619711319546,0.16528217158453934,0.12030271125875573
21,0.16098926891554016,0.23012296553719513,0.17122556161027488,0.13485787269965435,0.10563617219141552
22,0.15218949220044561,0.20682740621268672,0.1638394500862601,0.12264904629359809,0.10771615794993769
23,0.14103822108496597,0.17805940925434235,0.14840313034855745,0.10963958191969236,0.09757871156154911
24,0.1220766203429043,0.1537111326586423,0.13045966140462106,0.09013518715399599,0.09047355911768823
25,0.10411962040819808,0.1339065206996176,0.10731775489277298,0.08136885513112237,0.0817124895907507
26,0.08894772159054735,0.1192111353627559,0.09977040938624329,0.07483436561659004,0.07755323172387074
27,0.09095683376626544,0.10862490755034027,0.0952537564694932,0.07198481813447878,0.07562648109250894
28,0.08308309014803013,0.09451694524877491,0.08848158042165957,0.07201733853770886,0.07066312681854763
29,0.07244679022645624,0.07916761073827519,0.07738206567907766,0.06007412345114834,0.06370361892968408
30,0.06766519572826785,0.07071336803305392,0.07147513026108533,0.058407269781392275,0.06051371101353798
31,0.058555247025135745,0.05952292783026709,0.0646288693706402,0.04980346644234154,0.058153020143184485
32,0.05688192354215623,0.0561983012458786,0.06239178168978004,0.049998449670399965,0.057163888222185814
33,0.05290928479349116,0.04750090674323599,0.05892801482844769,0.04722113953682427,0.05614536704845331
